범죄대분류,범죄중분류,범죄소분류,발생,검거,검거인원(남),검거인원(여),불상,법인체
강력범죄,강도,준강도,61 ,60 ,52 ,13 ,0 ,0 
강력범죄,강도,특수강도,169 ,164 ,244 ,43 ,6 ,0 
강력범죄,강도,준특수강도,2 ,2 ,2 ,0 ,0 ,0 
강력범죄,강도,강도상해·치상,149 ,146 ,252 ,32 ,5 ,0 
강력범죄,강도,강도살인·치사,16 ,16 ,17 ,1 ,0 ,0 
강력범죄,강도,해상강도(살인·치사·상해·치상),0 ,0 ,1 ,0 ,0 ,0 
강력범죄,강도,인질강도,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강도,강도강간,8 ,9 ,11 ,0 ,0 ,0 
강력범죄,강도,(특수·인질·해상)강도(상습),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강도,특가법(강도),2 ,2 ,2 ,0 ,0 ,0 
강력범죄,강도,특가법(강도상해재범),2 ,2 ,2 ,0 ,0 ,0 
강력범죄,강간,강간,2166 ,2032 ,2131 ,31 ,10 ,0 
강력범죄,강간,강간(상습),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강간,준강간,1048 ,997 ,1089 ,7 ,3 ,0 
강력범죄,강간,준강간(상습),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강간,강간상해·치상,283 ,274 ,290 ,3 ,2 ,0 
강력범죄,강간,강간살인·치사,1 ,1 ,1 ,0 ,0 ,0 
강력범죄,강간,미성년자간음(심신미약자),36 ,33 ,46 ,2 ,1 ,0 
강력범죄,강간,업무상위력에의한간음,24 ,23 ,29 ,1 ,0 ,0 
강력범죄,강간,친족관계에의한강간,143 ,138 ,143 ,1 ,0 ,0 
강력범죄,강간,장애인에대한강간·간음,309 ,283 ,323 ,6 ,3 ,0 
강력범죄,강간,청소년에대한강간·간음,492 ,469 ,508 ,14 ,2 ,0 
강력범죄,강간,미성년자의제강간,384 ,368 ,470 ,2 ,5 ,0 
강력범죄,강간,13세미만미성년자강간·간음,73 ,70 ,77 ,1 ,2 ,0 
강력범죄,강간,특수강간(준),166 ,159 ,328 ,8 ,6 ,0 
강력범죄,강간,주거침입강간,95 ,92 ,97 ,2 ,2 ,0 
강력범죄,강간,절도강간,1 ,1 ,1 ,0 ,0 ,0 
강력범죄,강간,특수강도강간,12 ,12 ,12 ,0 ,0 ,0 
강력범죄,강간,아동학대처벌법위반(상습강간·간음),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강간,16세미만아동·청소년간음,30 ,29 ,35 ,0 ,1 ,0 
강력범죄,유사강간,유사강간,396 ,380 ,398 ,11 ,2 ,0 
강력범죄,유사강간,유사강간(상습),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,유사강간,준유사강간,164 ,156 ,159 ,4 ,0 ,0 
강력범죄,유사강간,준유사강간(상습),1 ,1 ,1 ,0 ,0 ,0 
강력범죄,유사강간,유사강간상해·치상,14 ,14 ,15 ,1 ,0 ,0 
강력범죄,유사강간,유사강간살인·치사,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,유사강간,미성년자의제유사강간,15 ,16 ,18 ,1 ,0 ,0 
강력범죄,유사강간,유사성행위,208 ,200 ,211 ,5 ,1 ,0 
강력범죄,유사강간,주거침입유사강간,16 ,16 ,16 ,0 ,0 ,0 
강력범죄,유사강간,절도유사강간,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,유사강간,특수강도유사강간,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,유사강간,아동학대처벌법위반(상습유사강간),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강제추행,강제추행,9550 ,9117 ,9173 ,482 ,40 ,0 
강력범죄,강제추행,강제추행(상습),20 ,20 ,18 ,0 ,0 ,0 
강력범죄,강제추행,준강제추행,684 ,669 ,698 ,14 ,3 ,0 
강력범죄,강제추행,준강제추행(상습),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강제추행,강제추행상해·치상,131 ,129 ,134 ,4 ,0 ,0 
강력범죄,강제추행,강제추행살인·치사,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강제추행,업무상위력등에의한추행,369 ,359 ,369 ,4 ,0 ,0 
강력범죄,강제추행,친족관계에의한강제추행,300 ,286 ,299 ,4 ,0 ,0 
강력범죄,강제추행,장애인에대한강제추행·추행,321 ,305 ,320 ,14 ,1 ,0 
강력범죄,강제추행,청소년에대한강제추행·추행,841 ,814 ,837 ,28 ,4 ,0 
강력범죄,강제추행,미성년자추행(심신미약자),8 ,8 ,7 ,1 ,0 ,0 
강력범죄,강제추행,미성년자의제강제추행,39 ,35 ,37 ,1 ,0 ,0 
강력범죄,강제추행,13세미만미성년자강제추행·추행,677 ,631 ,623 ,17 ,12 ,0 
강력범죄,강제추행,공중밀집장소에서의추행,816 ,641 ,638 ,4 ,6 ,0 
강력범죄,강제추행,특수강제추행(준),36 ,35 ,67 ,2 ,0 ,0 
강력범죄,강제추행,주거침입강제추행,145 ,141 ,145 ,0 ,0 ,0 
강력범죄,강제추행,절도강제추행,2 ,2 ,2 ,0 ,0 ,0 
강력범죄,강제추행,특수강도강제추행,2 ,2 ,1 ,0 ,0 ,0 
강력범죄,강제추행,아동학대처벌법위반(상습강제추행·추행),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강제추행,16세미만아동·청소년추행,21 ,21 ,21 ,0 ,0 ,0 
강력범죄,기타 강간·강제추행등,강간등상해·치상,104 ,103 ,114 ,2 ,3 ,0 
강력범죄,기타 강간·강제추행등,강간등살인·치사,3 ,3 ,3 ,0 ,0 ,0 
강력범죄,기타 강간·강제추행등,친족관계에의한강간등,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,기타 강간·강제추행등,장애인에대한준강간등,1 ,1 ,2 ,0 ,0 ,0 
강력범죄,기타 강간·강제추행등,청소년에대한강간등,77 ,77 ,90 ,1 ,0 ,0 
강력범죄,기타 강간·강제추행등,13세미만미성년자강간등,15 ,15 ,17 ,0 ,0 ,0 
강력범죄,기타 강간·강제추행등,주거침입강간등,27 ,28 ,30 ,2 ,0 ,0 
강력범죄,기타 강간·강제추행등,절도강간등,1 ,1 ,1 ,0 ,0 ,0 
강력범죄,기타 강간·강제추행등,특수강도강간등,9 ,9 ,9 ,0 ,0 ,0 
강력범죄,기타 강간·강제추행등,성폭력범죄의처벌및피해자보호등에관한법률위반,1 ,1 ,2 ,0 ,0 ,0 
강력범죄,방화,방화,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,방화,현주·공용건조물등방화,599 ,570 ,464 ,116 ,0 ,0 
강력범죄,방화,현주건조물등방화치상,14 ,13 ,8 ,3 ,0 ,0 
강력범죄,방화,현주건조물등방화치사,7 ,6 ,4 ,1 ,0 ,0 
강력범죄,방화,일반건조물등방화,296 ,238 ,202 ,30 ,0 ,0 
강력범죄,방화,자기소유건조물등방화,24 ,21 ,19 ,3 ,0 ,0 
강력범죄,방화,방화연소,15 ,12 ,12 ,3 ,0 ,0 
강력범죄,방화,진화방해,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,방화,폭발성물건파열(치사·상),7 ,6 ,5 ,1 ,0 ,0 
강력범죄,방화,폭발성물건파열(과실),28 ,28 ,30 ,7 ,0 ,0 
강력범죄,방화,가스등방출(치사·상),14 ,14 ,11 ,1 ,1 ,0 
강력범죄,방화,가스등방출(과실),1 ,1 ,1 ,0 ,0 ,0 
강력범죄,방화,가스등공급사용방해(치사·상),4 ,3 ,3 ,0 ,0 ,0 
강력범죄,방화,가스등공급사용방해(과실),2 ,2 ,3 ,0 ,0 ,0 
강력범죄,방화,자동차방화,35 ,35 ,21 ,4 ,0 ,0 
절도범죄,계,절도,148196 ,87672 ,47331 ,21740 ,605 ,3 
절도범죄,계,절도(상습),785 ,773 ,218 ,52 ,0 ,0 
절도범죄,계,특수절도,9142 ,8153 ,10635 ,2592 ,136 ,2 
절도범죄,계,특수절도(상습),23 ,23 ,14 ,2 ,0 ,0 
절도범죄,계,야간주거침입절도,5153 ,4509 ,2155 ,180 ,7 ,0 
절도범죄,계,야간주거침입절도(상습),109 ,109 ,21 ,1 ,0 ,0 
절도범죄,계,불법사용,802 ,610 ,818 ,68 ,1 ,0 
절도범죄,계,불법사용(상습),1 ,1 ,1 ,0 ,0 ,0 
절도범죄,계,특가법(절도),2198 ,2163 ,942 ,43 ,0 ,0 
절도범죄,계,특가법(단체등의조직),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,상해,상해,27826 ,27064 ,29379 ,5849 ,109 ,0 
폭력범죄,상해,상해(중),43 ,38 ,40 ,4 ,0 ,0 
폭력범죄,상해,상해(상습),17 ,16 ,17 ,5 ,0 ,0 
폭력범죄,상해,상해(상습중),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,상해,상해치사,35 ,33 ,35 ,3 ,0 ,0 
폭력범죄,상해,존속상해,341 ,335 ,292 ,79 ,0 ,0 
폭력범죄,상해,존속상해(중),1 ,1 ,1 ,0 ,0 ,0 
폭력범죄,상해,존속상해(상습),2 ,2 ,2 ,0 ,0 ,0 
폭력범죄,상해,존속상해(상습중),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,상해,존속상해치사,3 ,3 ,3 ,0 ,0 ,0 
폭력범죄,상해,특가법(보복상해등),34 ,34 ,31 ,13 ,0 ,0 
폭력범죄,상해,아동학대처벌법위반(상습상해),1 ,1 ,1 ,0 ,0 ,0 
폭력범죄,상해,특수상해,62 ,43 ,43 ,9 ,0 ,0 
폭력범죄,상해,특수상해(중),5 ,5 ,4 ,0 ,0 ,0 
폭력범죄,상해,특수상해(상습),6 ,6 ,4 ,2 ,0 ,0 
폭력범죄,상해,존속상해(특수·특수중),77 ,76 ,66 ,15 ,0 ,0 
폭력범죄,폭행,폭행,100137 ,94934 ,102185 ,25702 ,563 ,0 
폭력범죄,폭행,폭행(상습),89 ,87 ,66 ,7 ,0 ,0 
폭력범죄,폭행,폭행치상,1457 ,1433 ,1502 ,350 ,8 ,0 
폭력범죄,폭행,폭행치사,35 ,35 ,42 ,10 ,0 ,0 
폭력범죄,폭행,특수폭행,7542 ,7251 ,7483 ,1644 ,53 ,0 
폭력범죄,폭행,특수폭행(상습),4 ,1 ,2 ,0 ,0 ,0 
폭력범죄,폭행,특수폭행치상,91 ,88 ,120 ,15 ,0 ,0 
폭력범죄,폭행,특수폭행치사,3 ,3 ,7 ,2 ,0 ,0 
폭력범죄,폭행,존속폭행,2026 ,1988 ,1803 ,606 ,0 ,0 
폭력범죄,폭행,존속폭행(특수),87 ,88 ,71 ,23 ,0 ,0 
폭력범죄,폭행,존속폭행(상습),10 ,10 ,7 ,2 ,0 ,0 
폭력범죄,폭행,존속폭행치상,29 ,29 ,25 ,8 ,0 ,0 
폭력범죄,폭행,존속폭행치사,3 ,3 ,3 ,0 ,0 ,0 
폭력범죄,폭행,특가법(운전자폭행등),4259 ,4179 ,4131 ,330 ,3 ,0 
폭력범죄,폭행,특가법(보복폭행등),85 ,83 ,68 ,11 ,0 ,0 
폭력범죄,폭행,특가법(보복범죄등),81 ,76 ,82 ,24 ,0 ,0 
폭력범죄,폭행,아동학대처벌법위반(상습폭행),4 ,4 ,1 ,3 ,0 ,0 
폭력범죄,체포·감금,체포·감금,896 ,819 ,860 ,179 ,26 ,1 
폭력범죄,체포·감금,체포·감금(중),28 ,28 ,36 ,4 ,0 ,0 
폭력범죄,체포·감금,체포·감금(특수·특수중),81 ,79 ,141 ,36 ,7 ,0 
폭력범죄,체포·감금,체포·감금(상습·상습중),2 ,2 ,1 ,0 ,0 ,0 
폭력범죄,체포·감금,체포·감금치사상(중·특수·상습),133 ,129 ,189 ,51 ,2 ,1 
폭력범죄,체포·감금,존속체포·감금,21 ,22 ,20 ,14 ,0 ,0 
폭력범죄,체포·감금,존속체포·감금(중),1 ,1 ,0 ,1 ,0 ,0 
폭력범죄,체포·감금,존속체포·감금(특수·특수중),1 ,1 ,1 ,2 ,0 ,0 
폭력범죄,체포·감금,존속체포·감금(상습·상습중),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,체포·감금,존속체포·감금치사상(중·특수·상습),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,체포·감금,특가법(보복체포·감금등),2 ,2 ,1 ,0 ,0 ,0 
폭력범죄,체포·감금,아동학대처벌법위반(상습체포·감금),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,협박,협박,9306 ,8210 ,7938 ,1434 ,284 ,1 
폭력범죄,협박,협박(특수),11093 ,10881 ,10661 ,1484 ,17 ,0 
폭력범죄,협박,협박(상습),14 ,13 ,12 ,5 ,0 ,0 
폭력범죄,협박,협박(상습특수),2 ,2 ,2 ,0 ,0 ,0 
폭력범죄,협박,존속협박,235 ,222 ,196 ,30 ,0 ,0 
폭력범죄,협박,존속협박(특수),186 ,182 ,169 ,28 ,0 ,0 
폭력범죄,협박,존속협박(상습),1 ,1 ,1 ,0 ,0 ,0 
폭력범죄,협박,존속협박(상습특수),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,협박,특가법(운전자협박),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,협박,특가법(보복협박등),221 ,216 ,209 ,11 ,1 ,0 
폭력범죄,협박,아동학대처벌법위반(상습협박),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,약취·유인(미성년자),192 ,174 ,152 ,75 ,2 ,0 
폭력범죄,약취·유인,약취·유인(추행·간음·결혼·영리),39 ,38 ,42 ,7 ,0 ,0 
폭력범죄,약취·유인,약취·유인(노동력착취·성매매·성적착취·장기적출),6 ,6 ,32 ,9 ,0 ,0 
폭력범죄,약취·유인,인신매매,0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,인신매매(추행·간음·결혼·영리),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,인신매매등(노동력착취·성매매·성적착취·장기적출),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,국외이송약취·유인·인신매매,0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,피약취자·피유인자·피매매자(상해·치상),2 ,1 ,1 ,1 ,0 ,0 
폭력범죄,약취·유인,피약취자·피유인자·피매매자(살해·치사),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,피약취자·피유인자·피매매자(수수·은닉),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,특가법(약취·유인등),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,특가법(13세미만약취·유인등),1 ,1 ,0 ,1 ,0 ,0 
폭력범죄,약취·유인,아동복지법위반(아동매매),0 ,0 ,0 ,0 ,0 ,0 
폭력범죄,약취·유인,아동학대처벌법위반(상습국외이송),0 ,0 ,0 ,0 ,0 ,0 
